Frame Number,X Center,Y Center,Width,Height
1,932,586,88,88
2,922,584,88,88
3,902,580,88,88
4,884,572,86,86
5,884,568,76,76
6,872,566,84,84
7,866,566,90,90
8,854,568,88,88
9,846,566,84,84
10,840,570,94,94
11,834,570,88,88
12,828,570,82,82
13,820,584,88,88
14,814,588,80,80
15,814,596,88,88
16,808,598,78,78
17,806,606,86,86
18,804,608,86,86
19,802,612,78,78
20,800,616,84,84
21,796,620,88,88
22,798,622,88,88
23,798,622,86,86
24,796,622,86,86
25,792,622,84,84
26,788,620,80,80
27,782,618,76,76
28,782,624,86,86
29,782,624,84,84
30,778,622,82,82
31,768,616,82,82
32,756,616,88,88
33,750,610,70,70
34,740,604,80,80
35,732,620,80,80
36,724,616,82,82
37,700,618,88,88
38,696,612,74,74
39,688,612,74,74
40,680,614,84,84
41,676,616,80,80
42,670,616,84,84
43,666,618,84,84
44,660,618,82,82
45,652,618,78,78
46,650,614,76,76
47,654,622,66,66
48,664,620,66,66
49,678,608,82,82
50,680,572,74,74
51,311,189,68,68
52,312,189,68,68
53,402,156,86,86
54,710,512,98,98
55,718,504,80,80
56,728,500,84,84
57,732,494,78,78
58,732,494,80,80
59,728,496,82,82
60,333,148,68,68
61,726,454,66,66
62,328,146,56,56
63,742,402,74,74
64,184,158,76,76
65,748,348,78,78
66,746,344,70,70
67,744,328,80,80
68,315,147,60,60
69,742,316,80,80
70,742,318,82,82
71,742,322,80,80
72,744,332,76,76
73,746,344,78,78
74,770,328,68,68
75,368,134,90,90
76,299,169,52,52
77,760,428,72,72
78,312,184,60,60
79,772,518,78,78
80,782,494,68,68
81,768,462,74,74
82,360,198,68,68
83,365,200,60,60
84,364,201,72,72
85,746,386,78,78
86,740,370,78,78
87,732,358,86,86
88,732,348,78,78
89,728,330,72,72
90,720,342,74,74
91,708,346,80,80
92,700,360,74,74
93,688,374,80,80
94,688,376,78,78
95,402,208,80,80
96,672,426,80,80
97,666,454,78,78
98,660,490,70,70
99,660,486,94,94
100,388,181,60,60
101,393,178,60,60
102,398,175,60,60
103,405,170,60,60
104,406,172,60,60
105,412,186,78,78
106,428,163,60,60
107,434,165,60,60
108,438,164,60,60
109,730,202,80,80
110,726,204,72,72
111,732,194,94,94
112,734,204,82,82
113,734,216,94,94
114,538,586,76,76
115,722,240,76,76
116,708,268,84,84
117,708,292,74,74
118,431,185,60,60
119,432,187,60,60
120,714,362,74,74
121,433,191,60,60
122,716,456,72,72
123,438,194,72,72
124,708,508,84,84
125,714,500,66,66
126,698,464,68,68
127,690,436,78,78
128,680,390,72,72
129,670,354,68,68
130,643,175,60,60
131,647,170,60,60
132,650,170,60,60
133,646,324,76,76
134,654,177,76,76
135,628,334,80,80
136,655,180,60,60
137,650,181,64,64
138,604,372,68,68
139,653,183,72,72
140,594,416,72,72
141,582,450,68,68
142,572,490,72,72
143,572,488,70,70
144,564,536,76,76
145,578,506,66,66
146,594,490,76,76
147,608,466,74,74
148,608,464,74,74
149,626,452,68,68
150,622,454,76,76
151,632,452,78,78
152,638,458,78,78
153,648,464,66,66
154,685,192,58,58
155,648,484,72,72
156,667,501,76,76
157,664,532,68,68
158,660,514,70,70
159,648,488,80,80
160,624,221,60,60
161,652,231,60,60
162,644,424,64,64
163,644,414,72,72
164,642,408,78,78
165,592,274,82,82
166,648,262,76,76
167,705,255,58,58
168,633,248,60,60
169,682,362,82,82
170,698,360,76,76
171,644,252,82,82
172,646,254,68,68
173,646,252,68,68
174,661,235,64,64
175,706,422,74,74
176,648,256,70,70
177,679,235,60,60
178,722,482,68,68
179,660,252,72,72
180,724,486,66,66
181,685,225,64,64
182,710,412,76,76
183,685,213,60,60
184,686,210,74,74
185,149,150,60,60
186,716,302,64,64
187,596,192,96,96
188,692,292,68,68
189,690,294,76,76
190,668,204,92,92
191,687,197,72,72
192,684,201,68,68
193,506,550,88,88
194,671,203,54,54
195,576,218,96,96
196,663,204,60,60
197,659,206,68,68
198,658,205,68,68
199,651,205,60,60
200,598,522,72,72
201,598,492,68,68
202,648,206,72,72
203,642,203,60,60
204,111,151,60,60
205,639,192,76,76
206,642,191,72,72
207,655,194,74,74
208,663,196,60,60
209,638,210,86,86
210,618,400,68,68
211,622,404,68,68
212,669,188,60,60
213,676,188,76,76
214,670,189,76,76
215,685,192,60,60
216,668,196,60,60
217,669,199,60,60
218,668,200,60,60
219,634,438,64,64
220,675,200,60,60
221,160,147,52,52
222,656,382,66,66
223,654,384,68,68
224,662,380,72,72
225,674,366,66,66
226,680,368,76,76
227,682,362,64,64
228,680,378,68,68
229,733,178,68,68
230,733,174,72,72
231,733,171,60,60
232,718,178,98,98
233,722,182,78,78
234,672,414,82,82
235,690,374,66,66
236,692,340,72,72
237,692,308,78,78
238,688,278,88,88
239,686,262,80,80
240,770,195,76,76
241,704,207,74,74
242,746,201,62,62
243,851,208,60,60
244,804,205,68,68
245,264,157,68,68
246,782,198,54,54
247,771,196,72,72
248,711,192,72,72
249,690,199,60,60
250,736,196,72,72
251,646,246,84,84
252,646,258,80,80
253,322,74,72,72
254,718,176,78,78
255,756,188,92,92
256,746,192,86,86
257,742,192,70,70
258,738,194,84,84
259,660,194,98,98
260,596,486,78,78
261,604,440,72,72
262,612,400,74,74
263,268,143,60,60
264,286,137,60,60
265,303,128,60,60
266,788,168,96,96
267,814,157,60,60
268,828,159,60,60
269,830,172,90,90
270,712,242,86,86
271,710,238,78,78
272,874,184,78,78
273,820,166,84,84
274,818,168,94,94
275,705,238,60,60
276,1140,78,86,86
277,816,180,90,90
278,824,170,60,60
279,696,362,72,72
280,712,407,60,60
281,337,160,52,52
282,682,462,74,74
283,676,516,66,66
284,670,564,78,78
285,646,510,84,84
286,616,452,84,84
287,301,164,60,60
288,602,394,74,74
289,586,350,80,80
290,570,310,76,76
291,550,282,78,78
292,528,254,86,86
293,768,199,60,60
294,516,226,70,70
295,510,212,68,68
296,514,200,80,80
297,518,194,78,78
298,520,184,78,78
299,518,186,66,66
300,680,218,92,92
301,779,211,70,70
302,562,198,66,66
303,570,216,68,68
304,578,228,70,70
305,576,226,74,74
306,578,244,78,78
307,574,276,90,90
308,592,310,94,94
309,598,342,72,72
310,798,177,68,68
311,782,186,96,96
312,600,436,72,72
313,596,494,66,66
314,602,520,76,76
315,604,482,72,72
316,604,458,72,72
317,606,434,70,70
318,610,418,74,74
319,606,416,76,76
320,604,406,76,76
321,604,396,68,68
322,777,214,52,52
323,776,212,78,78
324,817,212,72,72
325,584,364,92,92
326,576,382,76,76
327,584,398,76,76
328,584,396,74,74
329,294,159,68,68
330,580,452,80,80
331,578,482,80,80
332,570,518,82,82
333,566,558,80,80
334,570,510,82,82
335,574,460,80,80
336,578,416,68,68
337,710,234,78,78
338,688,244,98,98
339,554,340,94,94
340,554,302,80,80
341,643,239,78,78
342,648,240,62,62
343,171,183,78,78
344,548,218,78,78
345,670,226,60,60
346,668,224,60,60
347,659,222,60,60
348,640,234,80,80
349,653,222,76,76
350,650,223,60,60
351,619,222,60,60
352,614,224,62,62
353,639,229,56,56
354,556,224,54,54
355,510,320,84,84
356,510,356,74,74
357,508,396,72,72
358,506,450,80,80
359,585,228,60,60
360,568,225,56,56
361,516,558,72,72
362,526,494,78,78
363,534,442,78,78
364,542,398,78,78
365,544,360,78,78
366,573,205,76,76
367,566,302,68,68
368,554,302,72,72
369,558,290,88,88
370,560,276,86,86
371,564,266,80,80
372,568,272,92,92
373,574,272,86,86
374,582,270,78,78
375,584,284,80,80
376,584,280,76,76
377,586,302,92,92
378,592,312,84,84
379,73,148,60,60
380,574,348,76,76
381,588,372,76,76
382,590,370,72,72
383,588,406,74,74
384,536,200,64,64
385,572,498,76,76
386,580,508,78,78
387,592,446,70,70
388,594,402,70,70
389,44,144,62,62
390,638,340,68,68
391,610,321,60,60
392,610,306,72,72
393,614,278,72,72
394,614,262,72,72
395,631,222,72,72
396,628,218,60,60
397,624,226,72,72
398,353,208,72,72
399,634,199,78,78
400,993,217,60,60
401,657,202,60,60
402,357,198,60,60
403,991,217,78,78
404,660,218,60,60
405,662,254,66,66
406,664,264,86,86
407,985,206,60,60
408,952,44,60,60
409,652,307,60,60
410,632,338,52,52
411,636,381,60,60
412,625,416,78,78
414,659,456,60,60
415,661,399,68,68
416,670,351,72,72
417,669,311,54,54
418,659,265,54,54
419,944,167,60,60
420,655,237,54,54
421,653,214,60,60
422,426,84,78,78
423,634,204,84,84
424,642,163,64,64
425,641,156,58,58
426,644,159,60,60
427,626,162,98,98
428,612,174,96,96
429,633,179,68,68
430,620,194,78,78
431,623,212,54,54
434,856,190,72,72
435,852,194,76,76
436,611,340,60,60
437,597,375,60,60
438,829,203,78,78
439,598,406,60,60
440,600,443,60,60
441,827,209,60,60
442,607,406,60,60
443,600,362,60,60
444,588,323,60,60
445,597,327,60,60
446,804,230,60,60
447,802,229,60,60
448,589,239,60,60
449,798,232,60,60
450,584,201,60,60
451,794,242,60,60
452,792,244,68,68
453,791,241,60,60
454,608,164,98,98
455,271,166,60,60
456,803,221,60,60
457,280,163,60,60
458,808,223,60,60
459,811,224,78,78
460,817,224,68,68
461,820,221,60,60
462,823,219,60,60
463,143,344,60,60
464,838,214,60,60
465,850,211,76,76
466,678,227,60,60
467,872,208,60,60
468,877,208,60,60
469,878,209,60,60
470,700,339,60,60
471,702,377,60,60
472,701,431,78,78
473,874,209,60,60
474,870,207,60,60
475,864,205,60,60
476,863,204,60,60
477,711,356,74,74
478,721,327,60,60
479,870,202,60,60
480,875,202,60,60
481,747,279,76,76
482,760,282,72,72
483,772,264,68,68
484,784,241,60,60
485,787,238,60,60
486,813,232,68,68
487,922,214,60,60
488,835,233,60,60
489,843,239,60,60
490,838,234,60,60
491,336,82,60,60
493,913,172,60,60
494,914,169,60,60
495,913,167,60,60
496,915,168,60,60
497,868,356,60,60
498,864,387,60,60
499,864,388,60,60
500,871,433,60,60
501,862,446,68,68
502,902,395,58,58
503,904,375,60,60
504,912,370,60,60
505,926,214,60,60
506,914,346,60,60
507,933,224,72,72
508,935,225,60,60
509,932,230,60,60
510,928,230,60,60
511,912,340,72,72
512,904,242,98,98
513,897,215,60,60
514,912,328,66,66
515,914,309,60,60
