Frame Number,X Center,Y Center,Width,Height
0,932,586,88,88
1,922,584,88,88
2,902,580,88,88
3,884,572,86,86
4,884,568,76,76
5,872,566,84,84
6,866,566,90,90
7,854,568,88,88
8,846,566,84,84
9,840,570,94,94
10,834,570,88,88
11,828,570,82,82
12,820,584,88,88
13,814,588,80,80
14,814,596,88,88
15,808,598,78,78
16,806,606,86,86
17,804,608,86,86
18,802,612,78,78
19,800,616,84,84
20,796,620,88,88
21,798,622,88,88
22,798,622,86,86
23,796,622,86,86
24,792,622,84,84
25,788,620,80,80
26,782,618,76,76
27,782,624,86,86
28,782,624,84,84
29,778,622,82,82
30,768,616,82,82
31,756,616,88,88
32,750,610,70,70
33,740,604,80,80
34,732,620,80,80
35,724,616,82,82
36,700,618,88,88
37,696,612,74,74
38,688,612,74,74
39,680,614,84,84
40,676,616,80,80
41,670,616,84,84
42,666,618,84,84
43,660,618,82,82
44,652,618,78,78
45,650,614,76,76
46,654,622,66,66
47,664,620,66,66
48,678,608,82,82
49,680,572,74,74
50,311,189,68,68
51,312,189,68,68
52,402,156,86,86
53,710,512,98,98
54,718,504,80,80
55,728,500,84,84
56,732,494,78,78
57,732,494,80,80
58,728,496,82,82
59,333,148,68,68
60,726,454,66,66
61,328,146,56,56
62,742,402,74,74
63,184,158,76,76
64,748,348,78,78
65,746,344,70,70
66,744,328,80,80
67,315,147,60,60
68,742,316,80,80
69,742,318,82,82
70,742,322,80,80
71,744,332,76,76
72,746,344,78,78
73,770,328,68,68
74,368,134,90,90
75,299,169,52,52
76,760,428,72,72
77,312,184,60,60
78,772,518,78,78
79,782,494,68,68
80,768,462,74,74
81,360,198,68,68
82,365,200,60,60
83,364,201,72,72
84,746,386,78,78
85,740,370,78,78
86,732,358,86,86
87,732,348,78,78
88,728,330,72,72
89,720,342,74,74
90,708,346,80,80
91,700,360,74,74
92,688,374,80,80
93,688,376,78,78
94,402,208,80,80
95,672,426,80,80
96,666,454,78,78
97,660,490,70,70
98,660,486,94,94
99,388,181,60,60
100,393,178,60,60
101,398,175,60,60
102,405,170,60,60
103,406,172,60,60
104,412,186,78,78
105,428,163,60,60
106,434,165,60,60
107,438,164,60,60
108,730,202,80,80
109,726,204,72,72
110,732,194,94,94
111,734,204,82,82
112,734,216,94,94
113,538,586,76,76
114,722,240,76,76
115,708,268,84,84
116,708,292,74,74
117,431,185,60,60
118,432,187,60,60
119,714,362,74,74
120,433,191,60,60
121,716,456,72,72
122,438,194,72,72
123,708,508,84,84
124,714,500,66,66
125,698,464,68,68
126,690,436,78,78
127,680,390,72,72
128,670,354,68,68
129,643,175,60,60
130,647,170,60,60
131,650,170,60,60
132,646,324,76,76
133,654,177,76,76
134,628,334,80,80
135,655,180,60,60
136,650,181,64,64
137,604,372,68,68
138,653,183,72,72
139,594,416,72,72
140,582,450,68,68
141,572,490,72,72
142,572,488,70,70
143,564,536,76,76
144,578,506,66,66
145,594,490,76,76
146,608,466,74,74
147,608,464,74,74
148,626,452,68,68
149,622,454,76,76
150,632,452,78,78
151,638,458,78,78
152,648,464,66,66
153,685,192,58,58
154,648,484,72,72
155,667,501,76,76
156,664,532,68,68
157,660,514,70,70
158,648,488,80,80
159,624,221,60,60
160,652,231,60,60
161,644,424,64,64
162,644,414,72,72
163,642,408,78,78
164,592,274,82,82
165,648,262,76,76
166,705,255,58,58
167,633,248,60,60
168,682,362,82,82
169,698,360,76,76
170,644,252,82,82
171,646,254,68,68
172,646,252,68,68
173,661,235,64,64
174,706,422,74,74
